name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Bilal Akgl	M	1983	167	59	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Mountainbike, Cross-Country	NA
Sezer Akgl	M	1988	160	55	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Featherweight, Freestyle	NA
Giorgos Akhilleos	M	1981	172	75	Cyprus	CYP	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
Bakhtiyar Shakhabutdinovich Akhmedov	M	1987	190	120	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Freestyle	Silver
Bakhyt Beshimbekovich Akhmetov	M	1979	175	105	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Heavyweight	NA
Doli Akhtar	F	1986	158	53	Bangladesh	BAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Mildred Akinyi "Milka" Alango	F	1989	157	49	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Flyweight	NA
Halil Akka	M	1983	175	58	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA
Khadzhimurat Magomedovich Akkayev	M	1985	178	105	Russia	RUS	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Middle-Heavyweight	Bronze
Anastasiya Sergeyevna Aksenova	F	1990	182	65	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Anastasiya Sergeyevna Aksenova	F	1990	182	65	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Freestyle	NA
Anastasiya Sergeyevna Aksenova	F	1990	182	65	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	NA
Anastasiya Sergeyevna Aksenova	F	1990	182	65	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	NA
Merey Akshalov	M	1988	179	60	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Lightweight	NA
Ohenewa Akuffo	F	1979	169	72	Canada	CAN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Heavyweight, Freestyle	NA
Marina Sergeyevna Akulova	F	1986	181	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Ali Ahmed Al-Amri	M	1985	155	51	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA
Nasser Salih Nasser Abdullah Al-Attiya	M	1971	178	82	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
Wael Al-Aydy	M	1972	178	76	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Mohamed Mutlaq Khalaf Al-Azemi	M	1982	178	64	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	NA
Sameera Zayid Al-Bitar	F	1990	168	64	Bahrain	BRN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Fadwa Al-Bouza	F	1990	173	58	Syria	SYR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres Hurdles	NA
Dadallah Noor Mohamed Al-Bulushi	M	1959	172	86	Oman	OMA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	NA
Sultan Mubarak M. Al-Dawoodi	M	1985	192	86	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
Rashid Shafi Al-Dosari	M	1981	198	130	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
Ramzy Al-Duhami	M	1972	162	70	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
Ramzy Al-Duhami	M	1972	162	70	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
Talal Al-Enezi	M	1986	180	94	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Heavyweight	NA
Abdulsalam Al-Gadabi	M	1978	nan	nan	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
Rakia Al-Gassra	F	1983	170	65	Bahrain	BRN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
Sultan Abdulmajeed E. Al-Habshi	M	1983	190	92	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	NA
Mohammed bin Naseeb Al-Habsi	M	1992	180	60	Oman	OMA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Khalid Issa A. H. Al-Hamadi	M	1988	171	57	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Foil, Individual	NA
Khalil Ahmed Al-Hanahneh	M	1980	171	70	Jordan	JOR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
Nashwan Haidar Al-Harazi	M	1987	162	54	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Individual All-Around	NA
Nashwan Haidar Al-Harazi	M	1987	162	54	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Floor Exercise	NA
Nashwan Haidar Al-Harazi	M	1987	162	54	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Horse Vault	NA
Nashwan Haidar Al-Harazi	M	1987	162	54	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Pommelled Horse	NA
Ibrahim Al-Hasan	M	1987	179	73	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
Obaid Ahmed Obaid Al-Jasmi	M	1982	178	71	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	NA
Ahmed bin Hasher Al-Maktoum	M	1964	175	67	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
Ahmed bin Hasher Al-Maktoum	M	1964	175	67	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Double Trap	NA
Latifah bint Ahmed bin Juma Al-Maktoum	F	1986	160	46	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
Maitha bint Mohammed bin Rashid Al-Maktoum	F	1980	nan	67	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Welterweight	NA
Saeed bin Hasher Al-Maktoum	M	1977	176	88	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
Nader Abdullah Al-Massri	M	1980	160	58	Palestine	PLE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA
Naser Al-Meqlad	M	1983	176	120	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
Bader Abdulrahman Al-Muhana	M	1989	nan	nan	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	NA
Riyadh Al-Mustafa	M	1975	171	64	Bahrain	BRN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Marathon	NA
Sayed Al-Mutairi Bariq	M	1969	172	65	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
Zaid Al-Mutairi	M	1982	169	64	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
Moukheld Mahil F. Al-Outaibi	M	1976	163	60	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA
Saeed Rashed Al-Qubaisi	M	1990	176	73	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Lightweight	NA
Abdullah Al-Rashidi	M	1964	183	83	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
Hussain Taher Al-Sabee	M	1980	187	85	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Long Jump	NA
Omar Jouma Bilal Al-Salfa	M	1990	170	67	United Arab Emirates	UAE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
Mohamed Abdullah Obaid Al-Salhi (Kosgei-)	M	1986	182	55	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	NA
Prince Abdullah Bin Moteb Al-Saud	M	1985	178	69	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
Prince Abdullah Bin Moteb Al-Saud	M	1985	178	69	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
Prince Faisal Al-Shalan	M	1987	178	66	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
Prince Faisal Al-Shalan	M	1987	178	66	Saudi Arabia	KSA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
Abdullah Said Al-Sooli	M	1983	172	73	Oman	OMA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA
Mohamed Issa Al-Thawadi	M	1982	175	75	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 110 metres Hurdles	NA
Mohammed Ahmed Al-Yafaee	M	1985	185	65	Yemen	YEM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	NA
Buthayna Eid Al-Yaqoubi	F	1991	155	45	Oman	OMA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Ali Mohamed Gharib Al-Zinkawi	M	1984	195	102.5	Kuwait	KUW	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Hammer Throw	NA
Tapani Jarkko Ala-Huikku	M	1980	164	60	Finland	FIN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	NA
Marina Alabau Neira	F	1986	164	55	Spain	ESP	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Windsurfer	NA
Mariem Alaoui Selsouli	F	1984	152	45	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	NA
Osama Mohammed Ye Alarag	M	1992	175	72	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
David Alarza Palacios	M	1977	185	90	Spain	ESP	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Middleweight	NA
Miguel ngel Albarracn	M	1981	167	64	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA
Dag Edward Albert	M	1970	185	70	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA
Dag Edward Albert	M	1970	185	70	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	NA
Marko Albert	M	1979	189	78	Estonia	EST	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
Samantha Albert (Majendie-)	F	1971	165	59	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA
Islam-Beka Said-Tsilimovich Albiyev	M	1989	165	66	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	Gold
Samuel Albrecht	M	1982	180	71	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Dinghy	NA
Yamil Aldama Pozo (-Dodds)	F	1973	173	62	Sudan	SUD	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Triple Jump	NA
Moiss Aldape Chvez	M	1982	175	62	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Ibrahim Erikovych Aldatov	M	1984	174	74	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Freestyle	NA
Blake Aldridge	M	1982	167	64	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	NA
David Alegre Biosca	M	1985	184	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
Ramn Alegre Biosca	M	1981	171	71	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
Jo Qesem Ayela Aleh	F	1986	171	58	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's One Person Dinghy	NA
Virgilijus Alekna	M	1972	200	130	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	Bronze
Mikhail Plamenov Aleksandrov	M	1985	193	88	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Mikhail Plamenov Aleksandrov	M	1985	193	88	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Mikhail Plamenov Aleksandrov	M	1985	193	88	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Individual Medley	NA
Denis Sergeyevich Alekseyev	M	1988	185	76	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres	NA
Denis Sergeyevich Alekseyev	M	1988	185	76	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	NA
Todor Nikolaev Aleksiev	M	1983	200	96	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Octavio Andrs Alesi Gonzlez	M	1987	174	69.5	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	NA
Alessandra Medeiros da Oliveira	F	1982	184	75	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Kineke Alicia Alexander	F	1986	178	65	Saint Vincent and the Grenadines	VIN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA
Richard Ian M. Alexander	M	1982	168	80	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Buffy-Lynne Alexander-Williams	F	1977	170	69	Canada	CAN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	NA
Alexandra Priscila do Nascimento	F	1982	177	68	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Alexandre "Alexandre Pato" Rodrigues da Silva	M	1990	179	71	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Bronze
Lavrentis Alexanidis	M	1978	171	65	Greece	GRE	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA
Robert Leodan Alfonso Acea	M	1987	193	102	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Super-Heavyweight	NA
Linda Camilla Algotsson	F	1972	162	50	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Individual	NA
Linda Camilla Algotsson	F	1972	162	50	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	NA
Mohamed Alhousseini Alhassan	M	1978	nan	nan	Niger	NIG	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
Aziz Ali	M	1981	173	81	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	NA
Belal Mansoor Ali	M	1989	170	61	Bahrain	BRN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	NA
Belal Mansoor Ali	M	1989	170	61	Bahrain	BRN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	NA
Ghada Ali	F	1989	166	67	Libya	LBA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA
Lahoussine Xavier Ali	M	1975	176	68	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Foil, Individual	NA
Annabel Laure Ali	F	1985	176	75	Cameroon	CMR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Heavyweight, Freestyle	NA
Sadam Ali	M	1989	175	60	United States	USA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Lightweight	NA
Thamer Kamal Ali	M	1989	170	60	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	NA
Fathia Ali Bouraleh	F	1988	nan	nan	Djibouti	DJI	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Ahmed Ali Ahmed Saleh	M	1980	179	78	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
Hamza Ali	M	1979	186	130	Bosnia and Herzegovina	BIH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	NA
Yuruby Rosaura Alicart Ramrez	F	1986	154	60	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
Cora Alicto	F	1980	168	59	Guam	GUM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Adnan Aliev	M	1984	182	85	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
Adnan Aliev	M	1984	182	85	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
Mirko Alilovi	M	1986	200	110	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
Nataliya Adamovna Alimova (-Trandenkova)	F	1979	192	78	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Aline Silva dos Santos	F	1982	195	96	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Aleksey Aleksandrovich Alipov	M	1976	175	80	Russia	RUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	Bronze
Penny Alison	F	1984	175	77	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
Margarita Sergeyevna Aliychuk	F	1991	174	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	Gold
Martti Aljand	M	1988	184	82	Estonia	EST	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Martti Aljand	M	1988	184	82	Estonia	EST	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Triin Aljand	F	1985	179	68	Estonia	EST	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Triin Aljand	F	1985	179	68	Estonia	EST	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Freestyle	NA
Triin Aljand	F	1985	179	68	Estonia	EST	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Butterfly	NA
Agnese Allegrini	F	1982	162	57	Italy	ITA	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Women's Singles	NA
Katherine Jessie Jean "Kate" Allen (-Diechtler)	F	1970	163	53	Austria	AUT	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	NA
Wyatt Allen	M	1979	193	98	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Bronze
Sandra Louise "Sandy" Allen-Lewis	F	1979	170	59	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
Thomas Allier	M	1975	185	86	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's BMX	NA
Olivia Elizabeth N. Allison-Federici	F	1990	169	54	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
Audrey Alloh	F	1987	170	55	Italy	ITA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 100 metres Relay	NA
Amandine Allou Affou	F	1981	160	52	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Bradley Kevin Ally	M	1987	182	73	Barbados	BAR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Individual Medley	NA
Bradley Kevin Ally	M	1987	182	73	Barbados	BAR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 400 metres Individual Medley	NA
Nicols Almagro Snchez	M	1986	180	84	Spain	ESP	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
Nicols Almagro Snchez	M	1986	180	84	Spain-2	ESP	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
Carlos Fernandes Esteves de Almeida	M	1988	182	79	Portugal	POR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Carlos Domingos Bendinha de Almeida	M	1977	192	92	Angola	ANG	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Jlio Antonio de Sourza e Almeida	M	1970	180	90	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
Jlio Antonio de Sourza e Almeida	M	1970	180	90	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Rapid-Fire Pistol, 25 metres	NA
Jlio Antonio de Sourza e Almeida	M	1970	180	90	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA
Kaio Mrcio Ferreira Costa de Almeida	M	1985	177	75	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	NA
Kaio Mrcio Ferreira Costa de Almeida	M	1985	177	75	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA
Kaio Mrcio Ferreira Costa de Almeida	M	1985	177	75	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	NA
Luiza Tavares de Almeida	F	1992	168	58	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Dressage, Individual	NA
Nair Felipe Pires de Almeida	F	1984	181	69	Angola	ANG	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Thiago Almeida	M	1980	181	70	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	NA
Johanna Maria-Therese Almgren	F	1984	170	62	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
Anna Aleksandrovna Alminova	F	1985	165	50	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 1,500 metres	NA
Maria Laura Almiro	F	1978	162	50	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA
Maria Laura Almiro	F	1978	162	50	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	NA
Patricio Javier Almonacid Gonzlez	M	1980	166	60	Chile	CHI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Malin Therse Alshammar	F	1978	180	64	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Malin Therse Alshammar	F	1978	180	64	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	NA
Julio Alsogaray	M	1980	180	81	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA
Lutz Altepost	M	1982	193	92	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Bronze
Anja Althaus	F	1983	174	65	Germany	GER	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Josmer Volmy "Jozy" Altidore	M	1990	185	91	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Michael "Mike" Altman	M	1976	183	73	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
David Daniel lvarez Martnez	M	1986	170	66	Honduras	HON	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Elider lvarez Beitar	M	1984	183	81	Colombia	COL	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	NA
Melquades Javier "Melki" lvarez Caraballo	M	1989	184	80	Spain	ESP	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Melquades Javier "Melki" lvarez Caraballo	M	1989	184	80	Spain	ESP	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Sergio lvarez Boulet	M	1980	155	56	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Bantamweight	NA
