id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
69799	Kevin Richard Light	M	1979	190	92	Canada	CAN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Gold
69968	Lin Dan	M	1984	177	70	China	CHN	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Singles	Gold
70011	Lin Yue	M	1991	163	53	China	CHN	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Synchronized Platform	Gold
70035	Caroline Lind	F	1983	183	80	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	Gold
70535	Artur Sergeyevich Litvinchuk	M	1988	189	83	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold
70556	Liu Chunhong	F	1983	160	69	China	CHN	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Light-Heavyweight	Gold
70710	Liu Zige	F	1989	181	70	China	CHN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Butterfly	Gold
70711	Anastasiya Valeryevna "Nastia" Liukin	F	1990	160	45	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	Gold
70806	Joan Llaneras Rossell	M	1969	180	65	Spain	ESP	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Points Race	Gold
70843	Carli Anne Lloyd (-Hollins)	F	1982	170	64	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Gold
70965	Ryan Steven Lochte	M	1984	188	88	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	Gold
70965	Ryan Steven Lochte	M	1984	188	88	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Backstroke	Gold
71034	Eleanor "Elle" Logan	F	1988	188	86	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	Gold
71127	Vasyl Anatoliyovich Lomachenko	M	1988	170	60	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Featherweight	Gold
71207	Long Qingquan	M	1991	150	56	China	CHN	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Bantamweight	Gold
71437	Mijan Lpez Nez	M	1983	198	130	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Greco-Roman	Gold
71441	Nicolas Pierre Lopez	M	1981	180	60	France	FRA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Team	Gold
71898	Lu Chunlong	M	1989	170	58	China	CHN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Men's Individual	Gold
71929	Lu Yong	M	1986	175	85	China	CHN	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Light-Heavyweight	Gold
72292	Kristine Lunde-Borgersen	F	1980	181	67	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold
72731	Ma Lin	M	1980	176	74	China	CHN	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	Gold
72731	Ma Lin	M	1980	176	74	China	CHN	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	Gold
72818	Satoko Mabuchi	F	1982	163	67	Japan	JPN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Gold
73050	Linda June MacKenzie (-Single)	F	1984	161	52	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	Gold
73160	Norbert Madaras	M	1980	191	91	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
73175	Elizabeth "Beezie" Madden (Patton-)	F	1964	168	63	United States	USA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	Gold
